Gene Name,Balaton consensus calls,,Carrel hybrids,Carrel SNPs,Cotton AI,Cotton DNAm,,Transcript Start,Transcript Stop,Transcript Type,CTAG gene,Expression in GM12878,Expression in IMR90,Expressed in Either Tissue,Domain categories,Results from other literature,Lister mCH,Sex differences in expression,Y homology,alternate gene names,Related Diseases,Comments
AY927613,No call,,,,,,,53221897,53223882,mRNA,No,26.421484,22.278364,Both,E,,,,,,,
IQSEC2,Mostly E,,1,,VE,all F E or E+U,,53262057,53350522,mRNA,No,0.010449596,0.62676835,Fibroblast Only,E,,E,,Y pseudogene,"KIAA0522, AF069137",MRX1,
SMC1A,Mostly E,,0.78,E,VE,E or E+U and VE,,53401069,53449618,mRNA,No,5.6195054,3.916364,Both,E,E,E,Female Bias,Y pseudogene,SMC1L1 ,CDLS2,
RIBC1,Discordant,,0.78,VE,VE,all F E or E+U,,53449838,53458057,mRNA,No,0.16590862,0.20991448,Both,Boundary,,,,,FLJ32783 ,,
HSD17B10,Mostly S,,0.11,,,S or S+U and VE and U,,53458205,53461323,mRNA,No,14.138584,12.732345,Both,S,S,,,,"HADH2, SCHAD ","2-methyl-3-hydroxybutyric aciduria, MRXS10",
svRNAa,No call,,,,,,,53489158,53489180,ncRNA,No,0,0,Neither,S,,,,,,,
HUWE1,Mostly S,,0.11,,S,S or S+U and VE and U,,53559062,53713673,mRNA,No,4.7003083,2.9319613,Both,S,,,,Y pseudogene,,MRXST,
MIR98,No call,,,,,,,53583183,53583302,miRNA,No,0.53391397,0.64384216,Both,S,,,,,,,
MIRLET7F2,No call,,,,,,,53584152,53584235,miRNA,No,0.32688612,0,Lymphoblast only,S,,,,,,,
DM119504,No call,,,,,,,53584206,53584228,miRNA,No,0.3979483,0,Lymphoblast only,S,,,,,,,
PHF8,S,,0,,S,all F S or S+U,,53963112,54071569,mRNA,No,0.605079,0.86670375,Both,S,,S,,,Hs.347445 ,MRXSSD,
FAM120C,S,,,,S,all F S,,54094756,54209714,mRNA,No,0.2801759,0.53452355,Both,S,,,,,,,
WNK3,S,,0,,,all F S or S+U,,54219255,54384438,mRNA,No,0.007037044,0.03632682,Neither,S,,S,,,"FLJ42662, PRKWNK3 ",,
TSR2,S,,0.11,,S,all F S or S+U,,54466852,54471731,mRNA,No,6.2456684,7.799989,Both,S,,E,,,"DT1P1A10, SP096 ",,
FGD1,Mostly S,,0.11,,S,S or S+U and VE,,54471886,54522599,mRNA,No,0.17199647,2.1150787,Both,S,,E,,,None,AAS,
GNL3L,Mostly S,,0,,S,S or S+U and VE,,54556643,54593720,mRNA,No,3.1473742,3.279813,Both,S,S,S,,Y pseudogene,FLJ10613 ,,
ITIH6,No call,,,,,,,54775331,54824673,mRNA,No,0.001483949,0.003131592,Neither,S,,,,Y pseudogene,ITIH5L,,
MAGED2,Mostly S,,0,,S,S or S+U and VE and U,,54834170,54842445,mRNA,yes,3.3819835,14.0717945,Both,S,S,S,,,JCL-1 ,,
SNORA11,No call,,,,,,,54840802,54840933,snoRNA,No,0.41603687,4.877592,Both,S,,,,,,,
TRO,Mostly S,,0,,S,S or S+U and VE and U,,54947248,54950201,mRNA,No,0.034082912,12.10092,Fibroblast Only,S,,S,,Y pseudogene,None,,
SNORA11,No call,,,,,,,54953737,54953866,snoRNA,No,0.41603687,4.877592,Both,S,,,,,,,
PFKFB1,Discordant,,0,,VE,,,54959589,55024967,mRNA,No,0.0845577,0.03978529,Neither,S,,S,,,Hs.13041 ,,
APEX2,S,,0,,,all F S or S+U,,55026779,55034212,mRNA,No,5.907343,8.006022,Both,S,,S,,Y pseudogene,XTH2 ,,
ALAS2,S,,0,,S,,,55035487,55057497,mRNA,No,0.15843083,0.005850186,Lymphoblast only,S,S,,,Y pseudogene,None,"XLSA, XLEPP",
PAGE2B,No call,,,,,,,55101503,55119260,mRNA,yes,0.014431733,0,Neither,S,,,,,,,
PAGE2,No call,,,,,,,55115496,55119260,mRNA,yes,0.012155128,0,Neither,S,,,,,,,
FAM104B,S,,0.11,,S,all F S or S+U,,55169534,55187628,mRNA,No,0.28578824,0.65184796,Both,S,,,,,LOC90736 ,,
TRNA_Pseudo,No call,,,,,,,55206665,55206737,tRNA,No,0,0,Neither,S,,,,,,,
MTRNR2L10,No call,,,,,,,55207823,55208944,mRNA,No,29.032846,0,Lymphoblast only,S,,,,,,,
PAGE5,No call,,,,,,,55246790,55250541,mRNA,yes,0,0.027455956,Neither,S,,,,,,,
PAGE3,No call,,,,,,,55284848,55291165,ncRNA,yes,0,0,Neither,S,,,,,,,
MIR4536-1,No call,,,,,too much U,,55477892,55477953,miRNA,No,0,0,Neither,S,,,,,,,
MAGEH1,S,,0.11,,,all F S,,55478537,55479999,mRNA,yes,8.10177,18.061028,Both,S,,,,, APR-1 ,,
USP51,S,,0,,,all F S or S+U,,55511048,55515631,mRNA,No,0.5750457,0.5393442,Both,S,,,,,Hs.40061 ,,
FOXR2,No call,,,,,,,55649832,55652621,mRNA,No,0.006561155,0,Neither,S,,,,,,,
RRAGB,Mostly S,,0,,S,S or S+U and VE and U,,55744109,55785207,mRNA,No,0.7616393,1.235079,Both,S,,S,,,None,,
KLF8,S,,0,,S,all F S or S+U,,56258821,56314322,mRNA,No,0.10306848,0.006032178,Lymphoblast only,S,,S,,,None,,
UBQLN2,S,,0.22,,,all F S or S+U,,56590025,56593443,mRNA,No,12.766819,19.893385,Both,S,,,,Y pseudogene,None,ALS15,
LOC550643,S,,0.11,,S,too much U,,56755717,56844004,ncRNA,No,0.5641718,0.30978632,Both,S,S,,,,"DKFZp686L07201, LOC389861, Hs.404298, G06389",,Has female specific CTCF binding sites
UQCRBP1,No call,,,,,,,56763220,56764017,ncRNA,No,23.14583,0.2904551,Both,S,,,,,,,
SPIN3,Mostly S,,0,,S,S or S+U and VE,,57002802,57021958,ncRNA,No,1.2785364,1.6871575,Both,S,,,,,LOC169981 ,,
SPIN2B,Mostly S,,,,,S or S+U and VE and U,,57146114,57163033,mRNA,No,0.24342583,0.63318753,Both,S,,,,,,,
SPIN2A,S,,0,,,,,57162082,57164058,mRNA,No,0.11574116,0.42987943,Both,S,,,,,Y09858,,
FAAH2,S,,0.22,,S,,,57313109,57515629,mRNA,No,0.15379648,0.022762626,Lymphoblast only,S,S,,,,FLJ31204 ,,
ZXDB,S,,0,,,all F S,,57618268,57623910,mRNA,No,1.7857957,4.454297,Both,S,S,,,,None,,
ZXDA,S,,0,S,,,,57931863,57937067,mRNA,No,0.92671114,1.65259,Both,S,S,,,Y pseudogene,None,,
Centromere,,,,,,,,,,,,,,Centromere,Centromere,,,,,,,
SPIN4,Mostly S,,,,,S or S+U and VE and U,,62567106,62571218,mRNA,No,2.6526017,4.7963343,Both,S,,,,Y pseudogene,,,
AK130294,No call,,,,,,,62646437,62651523,ncRNA,No,4.2228518,4.7538257,Both,S,,,,,,,
LOC92249,Mostly S,,0.11,,VE,too much U,,62646438,62780873,ncRNA,No,0.23611197,0.29348275,Both,S,,,,,None,,
ARHGEF9,S,,,,,all F S or S+U,,62854847,63005426,mRNA,No,0.56097287,0.43236366,Both,S,,E,,,,EIEE8,
MIR1468,No call,,,,,,,63005881,63005967,miRNA,No,0,0,Neither,S,,,,,,,
AMER1,S,,,,,all F S or S+U,,63404996,63425624,mRNA,No,0.9375098,1.1722678,Both,S,,,,Y pseudogene,FAM123B,OSCS,
ASB12,S,,0,,,,,63444071,63450511,mRNA,No,0.022736372,0.015993595,Neither,S,,,,Y pseudogene,None,,
MTMR8,S,,0,,S,all F S or S+U,,63444071,63615333,mRNA,No,0.060711265,0.003458627,Neither,S,,S,,,None,,
ZC4H2,S,,0.11,,S,all F S or S+U,,64135681,64254624,mRNA,No,0.13681816,0.32954255,Both,S,,,,Y pseudogene,HCA127 ,,
ZC3H12B,Discordant,,0.11,,VE,,,64708614,64727767,mRNA,No,0.1581696,0.22857505,Both,S,,,,,FLJ34366 ,,
LAS1L,S,,0.11,,S,all F S or S+U,,64732461,64754686,mRNA,No,2.9670658,4.52248,Both,S,,E,,Y pseudogene,FLJ12525 ,,
FRMD8P1,No call,,,,,,,64770501,64772301,ncRNA,No,2.3275888,1.25837,Both,S,,,,,,,
BC067907,No call,,,,,,,64808260,64845760,ncRNA,No,0.002928821,0.031590346,Neither,S,,,,,,,
MSN,S,,0.11,,S,all F S or S+U,,64887510,64961793,mRNA,No,8.621636,2.7506561,Both,S,,,,,Hs.87752 ,,
JA611242,No call,,,,,,,64905377,64905400,ncRNA,No,0.76273423,1.0730703,Both,S,,,,,,,
mir-223,No call,,,,,,,65235302,65240264,miRNA,No,1.2190224,0,Lymphoblast only,S,,,,,,,
MIR223,No call,,,,,,,65238711,65238821,miRNA,No,1.4842396,0,Lymphoblast only,S,,,,,,,
VSIG4,No call,,,,,,,65241579,65259967,mRNA,No,0.018913852,0.005601977,Neither,S,,,,,,,
HEPH,S,,,,S,,,65382432,65487230,mRNA,No,0.016768668,1.2139735,Fibroblast Only,S,,,,,,,
EDA2R,Discordant,,0.44,,S,,,65815481,65859140,mRNA,No,0.6729392,2.1766171,Both,S,S,,,,XEDAR ,,
U6,No call,,,,,,,65896099,65896206,snrna,No,0,0.2476316,Fibroblast Only,S,,,,,,,
AR,Mostly S,,0,,S,S or S+U and VE and U,,66763873,66950461,mRNA,No,0.000981067,0.14809933,Fibroblast Only,S,,S,,Y pseudogene,None,"Prostate cancer, AIS, SMAX1, PAIS, HYSP1",
OPHN1,S,,0,S,S,all F S or S+U,,67262185,67653299,mRNA,No,0.13317987,0.15513515,Both,S,,S,,Y pseudogene,"YB62F01, WI-12732",MRX60,
YIPF6,S,,0,,S,all F S or S+U,,67718623,67757127,mRNA,No,0.7597035,2.141626,Both,S,,S,,,MGC21416 ,,
STARD8,S,,0.11,,S,all F S or S+U,,67867510,67945684,mRNA,No,0.028684856,0.4098188,Fibroblast Only,S,,,,Y pseudogene,KIAA0189 ,,
EFNB1,Mostly S,,0.11,,VE,all F S,,68048839,68066029,mRNA,No,0.11234036,4.4942737,Both,S,,,,,EPLG2 ,CFNS,
PJA1,S,,0.11,,S,all F S or S+U,,68380580,68385365,mRNA,No,2.9259927,7.9209,Both,S,,E,,Y pseudogene,None,,
NCRNA00269,No call,,,,,,,68399399,68429767,mRNA,No,0.002109706,0.003392102,Neither,S,,,,,,,
FAM155B,S,,,,,all F S,,68725077,68752351,mRNA,No,0.001677876,0,Neither,S,,,,,,,
EDA,Mostly S,,0,,VE,all F S,,68835910,69259321,mRNA,No,0.014072535,0.009731868,Neither,S,,S,,Y pseudogene,ED1 ,"XHED, STHAGX1",
MIR676,No call,,,,,,,69242706,69242773,miRNA,No,0,0,Neither,S,,,,,,,
AWAT2,No call,,,,,,,69260391,69269788,mRNA,No,0.000973911,0.019182358,Neither,S,,,,,,,
OTUD6A,No call,,,,,,,69282340,69284029,mRNA,No,0,0.015238867,Neither,S,,,,Y pseudogene,,,
IGBP1,Mostly S,,0,,S,S or S+U and VE and U,,69353298,69386173,mRNA,No,3.1543176,1.6842203,Both,S,,S,,,"alpha4, Hs.442732",MRXS28,
DGAT2L6,VE,,,,VE,,,69397335,69425553,mRNA,No,0.017514858,0.010039,Neither,S,,,,,,,
Metazoa_SRP,No call,,,,,,,69441854,69442167,ncRNA,No,0.08744724,0,Neither,S,,,,,,,
AWAT1,S,,,,S,,,69454504,69460511,mRNA,No,0.047226556,0.008573132,Neither,S,,,,,,,
5S_rRNA,No call,,,,,,,69472891,69473012,rRNA,No,0,0.21461405,Fibroblast Only,S,,,,,,,
P2RY4,S,,,,S,,,69478015,69479654,mRNA,No,0.14510554,0.1884416,Both,S,,,,Y pseudogene,,,
ARR3,S,,0,,S,,,69488184,69501690,mRNA,No,0.1917706,0.23452309,Both,S,,,,,None,,
RAB41,S,,,,S,,,69502021,69504852,mRNA,No,0.10665352,0.5820042,Both,S,,,,,,,
PDZD11,Mostly S,,0.22,,,S or S+U and VE,,69506210,69509798,mRNA,No,3.8942163,9.780517,Both,S,,,,,LOC51248 ,,
KIF4A,S,,0.11,,S,all F S or S+U,,69509878,69640774,mRNA,No,0.20928183,0.6234935,Both,S,,S,,Y pseudogene,None,MRX100,
GDPD2,No call,,,,,,,69642880,69653241,mRNA,No,0.00971636,0.16403621,Fibroblast Only,S,,,,,,,
DLG3,S,,0,S,S,all F S or S+U,,69664704,69725339,mRNA,No,0.11562526,1.1293465,Both,S,S,S,,,None,MRX90,
U4,No call,,,,,,,69670728,69670872,snRNA,No,0,0,Neither,S,,,,,,,
TEX11,No call,,,,,,,69748789,70128567,mRNA,No,0.002867943,0.001830932,Neither,S,,,,Y pseudogene,,,
SLC7A3,Mostly S,,,,,S or S+U and VE and U,,70145429,70150975,mRNA,No,0.004950141,0.009285627,Neither,S,,,,,,,
SNX12,S,,0,,,all F S or S+U,,70209363,70288231,mRNA,No,0.7055889,1.0596142,Both,S,,S,,Y pseudogene,None,,
BC080535,No call,,,,,,,70279096,70280672,unknown,No,16.750166,23.761328,Both,S,S,,,,,,
FOXO4,VE,,0.33,,,too much U,,70315998,70323384,mRNA,No,1.9911422,1.8442805,Both,S,,,,,"MLLT7, AFX 1 ",,
CXorf65,VE,,,,VE,,,70323738,70326638,mRNA,No,1.4481697,0.01775504,Lymphoblast only,S,,,,,,,
IL2RG,No call,,,,,,,70327253,70331481,mRNA,No,59.219486,0,Lymphoblast only,S,,,,,,"SCIDX1, CIDX",
MED12,S,,0,,S,all F S or S+U,,70338405,70362304,mRNA,No,4.1038294,6.8619027,Both,S,S,S,,Y pseudogene,TNRC11 ,"OKS, X-linked mental retardation with marfanoid habitus syndrome, OHDOX.",
NLGN3,S,,0,,S,,,70364680,70391051,mRNA,No,0.7958212,0.18066251,Both,S,,S,,,None,"AUTSX1, ASPGX1",
BCYRN1,No call,,,,,,,70430034,70948962,ncRNA,No,2.8364544,1.39213,Both,S,,,,,,,
GJB1,No call,,,,,,,70435061,70445065,mRNA,No,0.009148237,0.005148163,Neither,S,,,,,,CMTX1,
ZMYM3,S,,0,S,S,all F S or S+U,,70459473,70474038,mRNA,No,5.3675213,10.631396,Both,S,S,S,,Y pseudogene,"ZNF261, DXS6673E",,
NONO,Mostly S,,0,,,S or S+U and VE and U,,70503041,70521018,mRNA,No,15.534527,7.2341814,Both,S,,S,,Y pseudogene,p54nrb ,,
ITGB1BP2,No call,,,,,,,70521627,70525204,mRNA,No,0.40929285,3.1022468,Both,S,,S,,,,,
TAF1,S,,0,,S,all F S or S+U,,70586113,70752224,mRNA,No,0.69630176,0.7441828,Both,S,,S,,,CCG1 ,DYT3,
INGX,No call,,,,,,,70711376,70712604,ncRNA,No,0.03723682,0.041909985,Neither,S,,,,,,,
OGT,Mostly S,,0,,S,S or S+U and VE,,70752911,70795747,mRNA,No,21.530697,6.6504955,Both,S,,S,,,GlcNAc ,,
ACRC,S,,0.11,,,,,70797873,70833433,mRNA,No,0.22366618,0.2962025,Both,S,,,,Y pseudogene,NAAR1 ,,
CXCR3,S,,0,,,,,70835765,70838367,mRNA,No,20.151655,0.03957539,Lymphoblast only,S,,S,,Y pseudogene,GPR9 ,,
LOC100132741,No call,,,,,,,70917045,70923256,ncRNA,No,0,0,Neither,S,,,,,,,
CXorf49,No call,,,,,,,70934223,70987051,mRNA,No,0,0,Neither,S,,,,,,,There is 2 copies of CXorf49 here on opposite strands. Each is about 4 kb.
NHSL2,Discordant,,,,VE,all F S,,71130937,71363424,mRNA,No,0.011968164,0.12561801,Fibroblast Only,S,,,,Y pseudogene,,,
RPS26P11,No call,,,,,,,71264258,71264811,ncRNA,No,0.6608528,0.41838118,Both,S,,,,,,,
RGAG4,S,,0,,,all F S,,71346960,71351751,mRNA,No,0.2597626,4.251078,Both,S,,,,,KIAA2001 ,,
FLJ44635,VE,,,,VE,,,71364033,71381600,mRNA,No,8.396329,0.49255684,Both,S,,,,,,,
PIN4,Discordant,,0.33,,S,too much U,,71401525,71483814,mRNA,No,0.35837108,0.45442158,Both,S,,,,Y pseudogene,None,,
ERCC6L,S,,0.22,,,all F S or S+U,,71424506,71458858,mRNA,No,0.53153604,0.6319785,Both,S,,,Female Bias,Y pseudogene,FLJ20105 ,,
RPS4X,Mostly E,,1,,E,E or E+U and VE,,71492452,71497141,mRNA,No,270.52313,15.001934,Both,E,E,E,Female Bias,Y homolog,None,,
CITED1,Discordant,,0.11,,,all F E or E+U,,71521487,71527037,mRNA,No,0.018137438,0.1577419,Fibroblast Only,Boundary,,,,,None,,
HDAC8,S,,0.22,,S,all F S or S+U,,71549365,71792953,mRNA,No,0.34365922,0.2925438,Both,S,,,,,Hs.37464 ,CDLS,
PHKA1,Mostly S,,0,,VE,all F S or S+U,,71798663,71934029,mRNA,No,0.010209833,0.32019216,Fibroblast Only,S,,S,,Y pseudogene,None,GSD9D,
LOC100129407,No call,,,,,,,72001688,72002484,ncRNA,No,0,0,Neither,S,,,,,,,
DMRTC1B,No call,,,,,,,72062799,72097698,mRNA,No,0,0,Neither,S,,,,,,,"There are 2 copies of DMRTC1B in this region, they are on opposite strands. Each is about6 kb."
DMRTC1,No call,,,,,,,72064875,72095622,mRNA,No,0,0,Neither,S,,,,Y pseudogene,,,"There are 2 copies of DMRTC1 in this region, they are on opposite strands. Each is about 4 kb."
LOC100129407,No call,,,,,,,72158002,72158798,ncRNA,No,0,0,Neither,S,,,,,,,
LINC00246B,No call,,,,,,,72161567,72163589,ncRNA,No,0.004524375,0,Neither,S,,,,,,,
PABPC1L2B,No call,,,,,,,72223351,72225551,mRNA,No,0,0,Neither,S,,,,,,,
PABPC1L2A,No call,,,,,,,72297176,72299351,mRNA,No,0,0,Neither,S,,,,,,,
NAP1L6,No call,,,,,,,72345875,72347919,ncRNA,No,0.013427107,0,Neither,S,,,,,,,
NAP1L2,S,,0,,,all F S,,72432136,72434710,mRNA,No,2.3672903,0.12001718,Both,S,,,,Y pseudogene,None,,
CDX4,No call,,,,,,,72667089,72674421,mRNA,No,0,0,Neither,S,,,,,,,
LOC139201,S,,,,S,all F S or S+U,,72744110,72782921,ncRNA,No,0.075463764,0.05042977,Neither,S,,,,,,,
CHIC1,S,,0,,S,too much U,,72782983,72906937,mRNA,No,0.1301057,0.3384515,Both,S,,S,,,None,,
TSIX,VE,,,,VE,,,73012039,73049066,ncRNA,No,19.436499,6.366783,Both,S,S,,,,,,
XIST,Mostly S,,1,S,S,,,73040494,73072588,lncRNA,No,55.29701,17.756763,Both,S,S,,Female Bias,,None,SXI1,
JPX,E,,1,,,all F E,,73164158,73290217,ncRNA,No,0.4794952,0.57877356,Both,E,,,Female Bias,,"FLJ31610, Hs.258828, T54860, BC014382",,
FTX,S,,0,,,too much U,,73247970,73513409,ncRNA,No,0.6971846,0.63743865,Both,S,S,,,,"FLJ44396, DKFZp686K1098, FLJ26979, Hs.118526, DKFZp586J1922, Hs.374460, FLJ46440",,
AK125301,No call,,,,,,,73421436,73461983,ncRNA,No,2.1559262,1.7485424,Both,S,S,,,,,,
MIR421,No call,,,,,,,73438211,73438296,miRNA,No,5.4278297,4.491922,Both,S,,,,,,,
MIR374B,No call,,,,,,,73438381,73438453,miRNA,No,3.2599053,4.939063,Both,S,,,,,,,
MIR374C,No call,,,,,,,73438383,73438453,miRNA,No,3.3517337,5.0781918,Both,S,,,,,,,
MIR545,No call,,,,,,,73506938,73507044,miRNA,No,0.08554029,0,Neither,S,,,,,,,
MIR374A,No call,,,,,,,73507120,73507192,miRNA,No,0.12538098,0.35279024,Both,S,,,,,,,
ZCCHC13,No call,,,,,,,73524024,73524869,mRNA,No,0,0,Neither,S,,,,,,,
SLC16A2,Mostly S,,0,,VE,S or S+U and VE and U,,73641084,73753752,mRNA,No,0.010154536,0.83842516,Fibroblast Only,S,,S,,,XPCT ,AHDS,
RLIM,S,,,,S,all F S or S+U,,73802810,73834461,mRNA,No,2.586048,3.5296187,Both,S,,S,,Y pseudogene,,,
KIAA2022,S,,0,,S,all F S or S+U,,73952690,74145287,mRNA,No,0.24873474,0.001203456,Lymphoblast only,S,,S,,Y pseudogene,None,"XLID, MRX98",
ABCB7,Mostly S,,0.22,,S,S or S+U and VE and U,,74273104,74376132,mRNA,No,0.43485823,0.44243878,Both,S,,,,,Hs.182171 ,ASAT,
UPRT,Mostly S,,,,S,S or S+U and VE,,74493893,74524732,mRNA,No,0.4315236,0.8141973,Both,S,,,,,,,
AX748371,No call,,,,,,,74544123,74546232,ncRNA,No,0.22122908,0.14646646,Both,S,,,,,,,
ZDHHC15,S,,,,S,all F S or S+U,,74588261,74743337,mRNA,No,0.00879414,0.004317828,Neither,S,,,,Y pseudogene,,MRX91,
TTC3P1,No call,,,,,,,74960372,74962914,ncRNA,No,8.091042,5.55988,Both,S,,,,,,,
MAGEE2,No call,,,,,,,75002822,75005079,mRNA,yes,0.008107008,0,Neither,S,,,,Y pseudogene,,,
PBDC1,S,,0,,S,all F S or S+U,,75392770,75398033,mRNA,No,3.4368675,6.0372434,Both,S,,S,,,CXorf26,,
MAGEE1,Discordant,,0.44,,,S or S+U and VE and U,,75648045,75651746,mRNA,yes,0.71452254,3.721832,Both,S,,,,,MAGEC2  ,,
AK311342,No call,,,,,,,75878197,76234957,ncRNA,No,0.001590687,0.003104063,Neither,S,,,,,,,
MIR384,No call,,,,,,,76139697,76139785,miRNA,No,0,0,Neither,S,,,,,,,
5S_rRNA,No call,,,,,,,76287129,76287248,rRNA,No,0,0.21461405,Fibroblast Only,S,,,,,,,
FGF16,No call,,,,,,,76709646,76712013,mRNA,No,0.007730415,0,Neither,S,,,,,,,
ATRX,S,,0,S,,all F S or S+U,,76760355,77041719,mRNA,No,0.5086395,0.6528923,Both,S,,S,,Y pseudogene,XH2 ,"ATRX, MRXHF1, ATMDS",
MAGT1,S,,0,,,all F S or S+U,,77081861,77151065,mRNA,No,1.6446096,1.3493658,Both,S,,S,,,DKFZp564K142 ,"Carbohydrate-deficient glycoprotein syndrome, XMEN",
COX7B,VE,,0.33,,,,,77154960,77160881,mRNA,No,10.907022,4.8184876,Both,S,,,,,None,APLCC,
ATP7A,Mostly S,,0.44,S,,all F S or S+U,,77166193,77305892,mRNA,No,0.4024092,0.58162403,Both,S,S,,,,None,"MK, OHS, SMAX3",
PGAM4,No call,,,,,,,77223457,77225135,mRNA,No,0.8067993,0.5368547,Both,S,,,,,,,
PGK1,S,,0,,S,all F S or S+U,,77359665,77382324,mRNA,No,36.214596,5.992903,Both,S,,S,,,None,Phosphoglycerate kinase 1 deficiency,
TAF9B,S,,0,,,all F S or S+U,,77385244,77395179,mRNA,No,1.8764368,6.360663,Both,S,,S,,,TAF9L ,,
CYSLTR1,S,,,,S,,,77528129,77583087,mRNA,No,0.31808928,0.004217384,Lymphoblast only,S,,,,Y pseudogene,,,
ZCCHC5,No call,,,,,,,77911565,77914825,mRNA,No,0.016840499,1.8401132,Fibroblast Only,S,,,,Y pseudogene,,,
LPAR4,No call,,,,,,,78003205,78012578,mRNA,No,0.007811232,0.005494706,Neither,S,,,,Y pseudogene,,,
MIR4328,No call,,,,,,,78156690,78156746,miRNA,No,0,0,Neither,S,,,,,,,
P2RY10,VE,,,,VE,,,78200828,78217438,mRNA,No,6.2445855,0.0015504,Lymphoblast only,S,,,,,,,
GPR174,VE,,,,VE,,,78426468,78427726,mRNA,No,4.5727706,0,Lymphoblast only,S,S,,,,,,
ITM2A,Discordant,,0.56,,S,too much U,,78615880,78623049,mRNA,No,3.9572823,0.014367468,Lymphoblast only,S,VE,,,,None,,
TBX22,S,,,,,all F S or S+U,,79270254,79287268,mRNA,No,0.000537926,0.003027174,Neither,S,,,,Y pseudogene,,"CPX, ABERS",
CR627394,No call,,,,,,,79483989,79565732,mRNA,No,0.001567569,0.003150529,Neither,S,,,,,,,
FAM46D,No call,,,,,,,79591002,79700810,mRNA,yes,0.000916873,0.002110785,Neither,S,,,,,,,
BRWD3,S,,,,S,all F S,,79924986,80065233,mRNA,No,0.78555405,0.51985544,Both,S,,,,Y pseudogene,,MRX93,
HMGN5,Discordant,,,,VE,E or E+U and VE and U,,80369199,80457441,mRNA,No,0.099781334,0.07004391,Neither,S,,,,Y pseudogene,NSBP1,,
SH3BGRL,Mostly S,,0.89,S,S,,,80457302,80554046,mRNA,No,1.1096524,0.6489998,Both,S,,,,,None,,
7SK,No call,,,,,,,81850262,81850481,snRNA,No,0,0,Neither,S,,,,,,,
POU3F4,S,,,,,all F S or S+U,,82763268,82764775,mRNA,No,0,0,Neither,S,,,,,,"Hereditary hearing loss and deafness, DFNX2",
CYLC1,No call,,,,,,,83116169,83141626,mRNA,No,0.000719052,0.001011615,Neither,S,,,,Y pseudogene,,,
RPS6KA6,S,,0,,S,all F S or S+U,,83313353,83442943,mRNA,No,0.051700022,0.37222224,Fibroblast Only,S,,S,,Y pseudogene,None,,
HDX,S,,,,S,all F S or S+U,,83572881,83757487,mRNA,No,0.033119425,0.08621438,Neither,S,,S,,Y pseudogene,,,
UBE2DNL,No call,,,,,,,84189156,84189896,ncRNA,No,0,0,Neither,S,,,,,,,
APOOL,Mostly S,,0,,S,S or S+U and VE,,84258897,84348323,mRNA,No,0.290775,0.48381576,Both,S,,S,,,"UNQ8193, FLJ39590",,
SATL1,S,,0,,,,,84347291,84363974,mRNA,No,0.15251027,0.39670926,Both,S,,S,,Y pseudogene,None,,
Mir_548,No call,,,,,,,84396967,84397050,miRNA,No,0,0,Neither,Boundary,,,,,,,
ZNF711,Discordant,,,,VE,S or S+U and VE and U,,84498996,84528368,mRNA,No,0.3923123,0.93990916,Both,Boundary,S,,,Y pseudogene,,MRX97,
POF1B,VE,,,,VE,,,84532394,84634748,mRNA,No,0.029867021,0.003774171,Neither,Boundary,S,,,,,POF2B,
CHM,Discordant,,0.78,VE,S,too much U,,85116184,85302566,mRNA,No,0.16642547,0.4913544,Both,Boundary,VE,,,,FLJ38564 ,CHM,
Mir_361,No call,,,,,,,85158640,85158712,miRNA,No,0,0,Neither,Boundary,,,,,,,
DACH2,Discordant,,,,VE,all F S or S+U,,85403454,86087605,mRNA,No,0.006916597,0.043891996,Neither,Boundary,,,,Y pseudogene,,,
KLHL4,No call,,,,,too much U,,86772714,86925050,mRNA,No,0.000841157,0.036516383,Neither,Boundary,,,,,,,
CPXCR1,No call,,,,,,,88002225,88009785,mRNA,yes,0.001210529,0.006812243,Neither,Boundary,,,,Y pseudogene,,,
TGIF2LX,No call,,,,,,,89176939,89177882,mRNA,No,0,0.054562893,Neither,Boundary,,,,Y homolog,,,
PABPC5,Mostly VE,,,,,E or E+U and VE and U,,90689596,90693583,mRNA,No,0,1.2657278,Fibroblast Only,Boundary,,,,Y pseudogene,,,
PCDH11X,Discordant,,,,VE,all F E or E+U,,91034259,91878228,mRNA,No,0.11213677,0.023374436,Lymphoblast only,Boundary,,,,Y homolog,,,
PCDHX,No call,,,,,,,91064464,91064633,ncRNA,No,0,0,Neither,Boundary,,,,,,,
AK125288,No call,,,,,,,91354535,91360178,ncRNA,No,0,0,Neither,Boundary,,,,,,,
DD413682,No call,,,,,,,91368316,91368338,ncRNA,No,0.7958966,5.5986276,Both,Boundary,,,,,,,
CS706497,No call,,,,,,,91651900,91651987,ncRNA,No,0,0,Neither,Boundary,,,,,,,
NAP1L3,Mostly E,,0.78,S,,all F E or E+U,,92925924,92928682,mRNA,No,0.023222065,6.5340996,Fibroblast Only,E,,,,Y pseudogene,NPL ,,
FAM133A,S,,,,S,,,92929011,92967273,mRNA,yes,0.002392079,0.014134475,Neither,S,,,,,,,
U6,No call,,,,,,,93258813,93258921,sRNA,No,0,0.2476316,Fibroblast Only,S,,,,,,,
Mir_548,No call,,,,,,,94318142,94318224,miRNA,No,0,0,Neither,S,,,,,,,
DQ580189,No call,,,,,,,95306294,95306323,piRNA,No,0,0,Neither,S,,,,,,,
